Solar,Wind
0.48158056,0.8825821
0.41238025,0.8377436
0.2945721,0.73155725
0.13996744,0.60526496
0.014136686,0.46909198
0,0.54495573
0,0.5169617
0,0.49890572
0,0.4827914
0,0.45690235
0,0.50243056
0,0.5275268
0,0.4797981
0,0.4049544
0,0.32548326
0,0.27557752
0,0.19843982
0,0.23266181
0,0.24574995
0.043773845,0.22093843
0.18968393,0.09638162
0.33142737,0.16836746
0.43232358,0.26405096
0.47586757,0.33951554
0.4677016,0.34409264
0.36333108,0.33031112
0.25874355,0.29509535
0.13326962,0.28281304
0.014879022,0.2791327
0,0.41109845
0,0.5157675
0,0.6229868
0,0.7173874
0,0.7718673
0,0.78557885
0,0.8532643
0,0.908059
0,0.9101832
0,0.87083405
0,0.8171215
0,0.7021356
0,0.71740294
0,0.6727978
0.045769706,0.7466959
0.19414464,0.66801995
0.33798003,0.7557064
0.4396241,0.8367459
0.48220837,0.8578162
0.47402796,0.88711506
0.40928125,0.8687143
0.29473767,0.8135863
0.14338183,0.70908546
0.01618224,0.59063506
0,0.6574292
0,0.7605874
0,0.8418389
0,0.8703498
0,0.9066303
0,0.8984926
0,0.85390997
0,0.7884065
0,0.71185946
0,0.66552424
0,0.6044836
0,0.52311474
0,0.5117737
0,0.4868378
0.043268085,0.4201088
0.1954048,0.44848272
0.35025746,0.61475325
0.45714557,0.67672557
0.50237316,0.66728806
0.49101722,0.6459004
0.4250446,0.6152329
0.31017712,0.5721817
0.15432204,0.5235998
0.018604789,0.3575155
0,0.25871006
0,0.15582329
0,0.070799395
0,0.030908799
0,0.007577658
0,0.008458101
0,0.025319064
0,0.049347974
0,0.0781369
0,0.14029463
0,0.2558112
0,0.33857062
0,0.40302628
0,0.45684463
0.05116914,0.55030334
0.20608194,0.5285775
0.3531007,0.63795483
0.45607793,0.7575729
0.49462554,0.8469837
0.48535553,0.8755623
0.4207792,0.864695
0.30271026,0.84376854
0.1490743,0.7884169
0.018773196,0.7774443
0,0.8090045
0,0.8159679
0,0.7858501
0,0.70377034
0,0.63397855
0,0.5346405
0,0.42729113
0,0.3673321
0,0.31656107
0,0.2608687
0,0.23017707
0,0.21395434
0,0.32610106
0,0.24881257
0.049402393,0.23405786
0.19767915,0.1369254
0.3405579,0.25526133
0.44135463,0.35686642
0.4842913,0.53219664
0.46657327,0.6010169
0.41090205,0.64123845
0.29511467,0.6259597
0.14261739,0.5178435
0.01889556,0.27748087
0,0.26376563
0,0.21289873
0,0.1736708
0,0.13318025
0,0.08584082
0,0.09123917
0,0.21721585
0,0.25250548
0,0.17708841
0,0.17756328
0,0.28708184
0,0.15086922
0,0.21311572
0,0.30817693
0.04657432,0.24307871
0.16972162,0.15148333
0.21557893,0.41582432
0.3747745,0.7525048
0.38536727,0.7741992
0.4146116,0.97204065
0.33725172,1
0.23730381,0.973456
0.121402435,0.8122381
0.017203799,0.6196544
0,0.59884316
0,0.52365375
0,0.38167706
0,0.27993172
0,0.17293917
0,0.2398093
0,0.37167722
0,0.45832583
0,0.5565429
0,0.5775654
0,0.5677294
0,0.695812
0,0.51801956
0,0.45416397
0.05377143,0.4089117
0.2164292,0.35249645
0.3759997,0.4608464
0.48688883,0.6298355
0.54061526,0.6995353
0.5343595,0.7731422
0.4713861,0.7862162
0.3500947,0.76393086
0.18238412,0.70829296
0.027054103,0.4070184
0,0.4014815
0,0.441979
0,0.56380916
0,0.59383357
0,0.56044734
0,0.4851751
0,0.42567354
0,0.37218353
0,0.29884535
0,0.23841509
0,0.17142805
0,0.07789779
0,0.072981626
0,0.08401003
0.059074506,0.17498542
0.22456844,0.23473376
0.37935707,0.38393164
0.48793128,0.48441553
0.5302389,0.5320169
0.5222673,0.56256115
0.4557654,0.56409806
0.33420098,0.5565989
0.17443678,0.5263967
0.02714026,0.50948644
0,0.58145976
0,0.7150309
0,0.776187
0,0.7865921
0,0.75352734
0,0.7773763
0,0.7704398
0,0.73245907
0,0.69705015
0,0.70373386
0,0.66609937
0,0.56146646
0,0.59291744
0,0.59744495
0.05612949,0.5136953
0.21885297,0.37968847
0.36970076,0.43075904
0.4768796,0.49294525
0.5196773,0.51261765
0.51276726,0.5368007
0.44901347,0.54072857
0.33075818,0.48278677
0.1725213,0.357469
0.027808663,0.16084868
0,0.21051748
0,0.20707573
0,0.3458416
0,0.38804048
0,0.3946434
0,0.3514526
0,0.30390006
0,0.24627872
0,0.19756931
0,0.18706787
0,0.17671357
0,0.19793797
0,0.11124229
0,0.065789245
0.056563955,0.04761003
0.20925601,0.022763096
0.35431832,0.06400091
0.45974222,0.18798234
0.5061729,0.33466163
0.49058825,0.45702046
0.4137525,0.5089428
0.29567617,0.47674286
0.1488678,0.45583564
0.028237836,0.40944266
0,0.36864802
0,0.40351212
0,0.49701807
0,0.5819207
0,0.64367867
0,0.69914836
0,0.71960855
